City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
314,Mount Gambier,AU,-37.8333,140.7667,64.4,94,75,6.91,broken clouds
315,Huaicheng,CN,23.9051,112.1931,53.82,75,91,4.36,overcast clouds
316,Pochutla,MX,15.7432,-96.4661,89.6,51,20,9.22,few clouds
317,Kita,ML,13.0349,-9.4895,98.92,19,49,5.5,scattered clouds
318,Ostrovnoy,RU,68.0531,39.5131,21.22,91,100,4.0,overcast clouds
319,Utiel,ES,39.5667,-1.2,62.6,31,0,8.05,clear sky
320,Pouembout,NC,-21.1333,164.9,72.14,89,1,4.7,clear sky
321,Fairbanks,US,64.8378,-147.7164,1.4,55,1,4.61,clear sky
322,Padang,ID,-0.9492,100.3543,73.4,100,75,6.06,moderate rain
323,Broome,US,42.2506,-75.833,61.0,21,1,1.28,clear sky
324,Vila Franca Do Campo,PT,37.7167,-25.4333,59.0,77,75,6.91,broken clouds
325,Slave Lake,CA,55.2834,-114.769,32.0,47,1,4.61,clear sky
326,Jijiga,ET,9.35,42.8,66.24,27,38,12.73,scattered clouds
327,Buluang,PH,13.3068,123.3425,75.78,93,40,3.49,scattered clouds
328,Ulladulla,AU,-35.35,150.4667,64.4,100,75,14.97,moderate rain
329,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,63,75,9.22,broken clouds
330,Buin,CL,-33.7333,-70.75,75.2,35,20,8.05,few clouds
331,Camalu,MX,30.85,-116.0667,62.01,37,98,5.99,overcast clouds
332,Ahipara,NZ,-35.1667,173.1667,55.87,86,6,4.9,clear sky
333,Sulangan,PH,11.1373,123.7228,82.04,77,95,16.15,overcast clouds
334,Papayal,PE,-4.0761,-80.7361,86.25,55,76,6.4,broken clouds
335,Bacolod,PH,10.6667,122.95,79.02,81,83,7.29,broken clouds
336,Mayo,US,38.8876,-76.5119,60.01,38,1,4.61,clear sky
337,Robertsport,LR,6.7533,-11.3686,80.02,81,97,16.11,overcast clouds
338,Camabatela,AO,-8.1881,15.375,63.5,98,78,2.68,broken clouds
339,Juneau,US,58.3019,-134.4197,32.0,86,90,4.72,light snow
340,Great Bend,US,38.3645,-98.7648,66.99,48,1,25.32,clear sky
341,Iskateley,RU,67.6803,53.1512,15.84,93,87,11.1,overcast clouds
342,Portland,US,45.5234,-122.6762,48.0,66,90,9.22,overcast clouds
343,Itapuranga,BR,-15.5622,-49.9486,79.99,74,0,4.56,clear sky
344,Male,MV,4.1748,73.5089,84.2,84,40,5.75,scattered clouds
345,Holme,DK,56.1138,10.1725,41.0,56,40,6.91,scattered clouds
346,Varadero,CU,23.1536,-81.2514,77.0,50,20,12.66,few clouds
