City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
251,Chuy,UY,2021-03-19 21:57:00,-33.6971,-53.4616,63.9,78,0,7.83
252,Hammerfest,NO,2021-03-19 22:03:30,70.6634,23.6821,37.4,81,75,23.02
253,Pagudpud,PH,2021-03-19 22:03:30,18.5616,120.7868,77.0,94,75,4.61
254,Bac Lieu,VN,2021-03-19 22:03:31,9.285,105.7244,79.54,80,75,7.05
255,Tahta,EG,2021-03-19 22:03:31,26.7693,31.5021,64.4,32,0,4.61
256,Uyuni,BO,2021-03-19 22:03:31,-20.4597,-66.825,60.3,30,42,14.36
257,Cascais,PT,2021-03-19 22:03:31,38.6979,-9.4215,57.0,74,0,20.74
258,Airai,TL,2021-03-19 21:57:03,-8.9266,125.4092,59.99,87,16,2.13
259,Nikolskoye,RU,2021-03-19 21:55:02,59.7035,30.7861,18.0,79,0,4.47
260,Bambous Virieux,MU,2021-03-19 21:57:41,-20.3428,57.7575,78.8,78,40,13.8
261,Farmington,US,2021-03-19 22:03:32,36.7281,-108.2187,68.0,13,1,6.76
262,Dubrovytsya,UA,2021-03-19 22:03:32,51.5744,26.565,27.93,75,18,3.11
263,Hasaki,JP,2021-03-19 21:57:10,35.7333,140.8333,48.2,87,75,9.22
264,Talnakh,RU,2021-03-19 21:58:16,69.4865,88.3972,-31.56,84,9,8.23
265,Iquitos,PE,2021-03-19 22:03:32,-3.7481,-73.2472,87.8,62,75,5.75
266,Pisco,PE,2021-03-19 21:57:56,-13.7,-76.2167,77.0,65,0,11.5
267,Lodja,CD,2021-03-19 22:03:32,-3.4833,23.4333,72.14,87,13,1.3
268,Santa Cruz,BO,2021-03-19 21:55:30,-17.8,-63.1667,82.4,61,40,5.75
269,Brufut,GM,2021-03-19 22:03:33,13.3814,-16.7518,66.2,94,0,5.75
270,Mapastepec,MX,2021-03-19 22:03:33,15.4333,-92.9,89.67,52,53,6.44
271,Khatanga,RU,2021-03-19 21:55:06,71.9667,102.5,-28.68,98,100,4.9
272,Atagay,RU,2021-03-19 22:03:33,55.1033,99.3875,11.52,91,68,5.53
273,Sorland,NO,2021-03-19 21:58:39,67.667,12.6934,41.59,75,100,24.23
274,Atar,MR,2021-03-19 21:58:20,20.5169,-13.0499,75.87,17,0,11.48
275,Garhi Khairo,PK,2021-03-19 22:03:33,28.0606,67.9803,73.89,22,0,5.88
276,Hualmay,PE,2021-03-19 21:58:01,-11.0964,-77.6139,74.68,70,98,11.07
277,Verkhniy Avzyan,RU,2021-03-19 22:03:34,53.5289,57.5372,25.25,97,96,2.13
278,Kahului,US,2021-03-19 21:57:01,20.8947,-156.47,77.0,57,20,18.41
279,Alexandria,EG,2021-03-19 21:58:26,31.2156,29.9553,60.8,67,0,5.75
280,Kokubu,JP,2021-03-19 22:03:34,31.7333,130.7667,60.8,82,75,11.5
281,Paamiut,GL,2021-03-19 21:58:11,61.994,-49.6678,31.69,65,100,20.18
282,Collecchio,IT,2021-03-19 22:03:34,44.754,10.2184,37.4,81,0,4.61
283,Hearst,CA,2021-03-19 22:03:34,49.6835,-83.6665,50.0,23,0,17.27
284,Buin,CL,2021-03-19 22:03:35,-33.7333,-70.75,64.4,55,75,4.61
285,Zgierz,PL,2021-03-19 22:03:35,51.8556,19.4062,27.0,59,0,5.75
286,Santiago Nonualco,SV,2021-03-19 22:03:35,13.5167,-88.95,87.8,58,20,8.05
